Player,Team,RAPM,ORAPM,DRAPM,RAPM_SOURCE
Kevon Looney,NOP,2.4,0.63,1.76,EXTERNAL_JSON
Haywood Highsmith,BKN,-0.9,-1.4,0.5,EXTERNAL_JSON
Harrison Barnes,SAS,-0.03,1.54,-1.57,EXTERNAL_JSON
Branden Carlson,OKC,-0.55,0.09,-0.63,EXTERNAL_JSON
Jamal Shead,TOR,-1.14,-1.25,0.11,EXTERNAL_JSON
Quinten Post,GSW,0.39,-1.2,1.59,EXTERNAL_JSON
Jaime Jaquez Jr.,MIA,0.49,-0.19,0.68,EXTERNAL_JSON
Keldon Johnson,SAS,-1.77,-0.1,-1.67,EXTERNAL_JSON
Noah Clowney,BKN,-2.43,-1.12,-1.31,EXTERNAL_JSON
Nicolas Claxton,BKN,-2.96,-2.79,-0.17,EXTERNAL_JSON
Ajay Mitchell,OKC,1.32,-0.97,2.29,EXTERNAL_JSON
Kel'el Ware,MIA,-0.11,-0.1,-0.01,EXTERNAL_JSON
Oscar Tshiebwe,UTA,-0.17,0.1,-0.27,EXTERNAL_JSON
Max Christie,DAL,-1.83,-0.91,-0.92,EXTERNAL_JSON
Tristan Vukcevic,WAS,-4.16,-3.02,-1.14,EXTERNAL_JSON
Duncan Robinson,DET,-0.31,0.13,-0.45,EXTERNAL_JSON
Jordan Goodwin,PHX,0.39,-0.74,1.12,EXTERNAL_JSON
Rui Hachimura,LAL,0.34,-0.06,0.41,EXTERNAL_JSON
Devin Vassell,SAS,-1.55,-0.89,-0.66,EXTERNAL_JSON
Craig Porter,CLE,-2.3,-1.25,-1.05,EXTERNAL_JSON
Duop Reath,POR,-2.96,-1.42,-1.55,EXTERNAL_JSON
Jaxson Hayes,LAL,-1.92,-1.96,0.04,EXTERNAL_JSON
Jaylen Clark,MIN,0.11,-0.66,0.77,EXTERNAL_JSON
Isaiah Jackson,IND,-1.33,-0.43,-0.9,EXTERNAL_JSON
Malik Monk,SAC,0.28,0.97,-0.69,EXTERNAL_JSON
T.J. McConnell,IND,1.11,0.71,0.4,EXTERNAL_JSON
Quentin Grimes,PHI,-1.38,-0.75,-0.63,EXTERNAL_JSON
CJ McCollum,WAS,-0.77,1.8,-2.57,EXTERNAL_JSON
RJ Barrett,TOR,-0.96,0.4,-1.36,EXTERNAL_JSON
Xavier Tillman,BOS,-1.25,-1.8,0.55,EXTERNAL_JSON
Luke Kennard,ATL,0.24,1.87,-1.63,EXTERNAL_JSON
Obi Toppin,IND,0.74,2.06,-1.32,EXTERNAL_JSON
Precious Achiuwa,SAC,-3.57,-3.22,-0.35,EXTERNAL_JSON
Trey Murphy III,NOP,-2.21,-2.14,-0.07,EXTERNAL_JSON
Ron Harper Jr.,BOS,-0.4,-0.22,-0.18,EXTERNAL_JSON
Nikola Topić,OKC,0.0,0.0,0.0,EXTERNAL_JSON
Brandon Williams,DAL,-0.21,-0.88,0.67,EXTERNAL_JSON
Miles Bridges,CHA,-1.66,-0.6,-1.06,EXTERNAL_JSON
Johnny Furphy,IND,-1.32,-1.56,0.23,EXTERNAL_JSON
Royce O'Neale,PHX,-0.24,-0.24,0.0,EXTERNAL_JSON
Andre Drummond,PHI,-0.99,-0.79,-0.2,EXTERNAL_JSON
Dillon Brooks,PHX,1.07,-0.41,1.48,EXTERNAL_JSON
Sion James,CHA,0.72,0.19,0.54,EXTERNAL_JSON
Peyton Watson,DEN,-1.83,-1.38,-0.45,EXTERNAL_JSON
Khris Middleton,WAS,0.9,1.34,-0.45,EXTERNAL_JSON
Dalen Terry,CHI,-1.48,-2.49,1.01,EXTERNAL_JSON
Ryan Kalkbrenner,CHA,-3.58,-2.67,-0.92,EXTERNAL_JSON
Josh Green,CHA,-2.33,-1.76,-0.57,EXTERNAL_JSON
Brook Lopez,LAC,0.68,-1.11,1.78,EXTERNAL_JSON
Nah'Shon Hyland,MIN,-1.85,-0.76,-1.09,EXTERNAL_JSON
D'Angelo Russell,DAL,1.02,0.66,0.36,EXTERNAL_JSON
Bryce McGowens,NOP,-2.76,-1.4,-1.35,EXTERNAL_JSON
Anfernee Simons,BOS,-1.85,-0.03,-1.83,EXTERNAL_JSON
Georges Niang,UTA,-0.92,0.87,-1.79,EXTERNAL_JSON
Gary Harris,MIL,-1.14,-0.86,-0.28,EXTERNAL_JSON
Isaiah Stewart,DET,-0.61,-1.06,0.46,EXTERNAL_JSON
Jaylen Wells,MEM,1.06,1.92,-0.86,EXTERNAL_JSON
Nikola Jovic,MIA,-0.53,-0.82,0.29,EXTERNAL_JSON
Kon Knueppel,CHA,-0.26,-0.4,0.14,EXTERNAL_JSON
Dejounte Murray,NOP,-1.21,0.49,-1.7,EXTERNAL_JSON
