Player,Team,RAPM,ORAPM,DRAPM,RAPM_SOURCE,PTS,MIN,GP
Georges Niang,UTA,-0.92,0.87,-1.79,EXTERNAL_JSON,,,
Gary Harris,MIL,-1.14,-0.86,-0.28,EXTERNAL_JSON,2.1,14.5,17.0
Isaiah Stewart,DET,-0.61,-1.06,0.46,EXTERNAL_JSON,10.0,22.5,21.0
Jaylen Wells,MEM,1.06,1.92,-0.86,EXTERNAL_JSON,12.2,26.5,24.0
Nikola Jovic,MIA,-0.53,-0.82,0.29,EXTERNAL_JSON,,,
Kon Knueppel,CHA,-0.26,-0.4,0.14,EXTERNAL_JSON,18.0,33.5,24.0
Dejounte Murray,NOP,-1.21,0.49,-1.7,EXTERNAL_JSON,,,
Cooper Flagg,DAL,-3.95,-2.43,-1.52,EXTERNAL_JSON,17.3,33.7,24.0
Ayo Dosunmu,CHI,-2.74,-1.06,-1.67,EXTERNAL_JSON,15.2,27.8,20.0
Guerschon Yabusele,NYK,-0.73,0.22,-0.95,EXTERNAL_JSON,3.1,10.0,23.0
Gui Santos,GSW,0.9,0.48,0.42,EXTERNAL_JSON,3.4,9.3,18.0
Marvin Bagley III,WAS,-2.17,-1.14,-1.03,EXTERNAL_JSON,8.5,17.8,18.0
Isaiah Livers,PHX,-0.58,-0.12,-0.46,EXTERNAL_JSON,2.5,12.1,13.0
Andrew Wiggins,MIA,-1.74,-0.97,-0.77,EXTERNAL_JSON,16.9,32.9,22.0
Kris Murray,POR,-2.05,-2.67,0.62,EXTERNAL_JSON,5.5,24.9,23.0
Pelle Larsson,MIA,-0.61,0.15,-0.76,EXTERNAL_JSON,8.7,21.9,24.0
Cam Thomas,BKN,-3.24,0.15,-3.39,EXTERNAL_JSON,21.4,28.3,8.0
Baylor Scheierman,BOS,-0.96,-0.96,0.01,EXTERNAL_JSON,3.2,11.9,21.0
Ja'Kobe Walter,TOR,-3.18,-1.69,-1.49,EXTERNAL_JSON,5.5,16.6,23.0
Mike Conley,MIN,1.19,1.07,0.12,EXTERNAL_JSON,5.3,19.1,24.0
Riley Minix,SAS,-0.43,-0.34,-0.09,EXTERNAL_JSON,3.0,2.8,3.0
Gary Trent Jr.,MIL,-3.98,-0.25,-3.73,EXTERNAL_JSON,9.8,27.7,26.0
Vince Williams Jr.,MEM,-0.44,-1.01,0.57,EXTERNAL_JSON,7.8,22.2,19.0
Zach Collins,CHI,-1.53,-1.71,0.18,EXTERNAL_JSON,5.5,19.7,2.0
Ronald Holland II,DET,-0.5,-1.26,0.77,EXTERNAL_JSON,8.0,21.1,24.0
