id,date,home_team,away_team,prob_home,prob_away,prob_mc_home,prob_mc_away,odd_home,odd_away,prediction,confidence,home_score,away_score,winner,correct,timestamp,fgm,fga,fg3m,tov,oreb,dreb,fta,ftm,ast,stl,blk,pf,pts,opp_fgm,opp_fga,opp_fg3m,opp_tov,opp_oreb,opp_dreb,opp_fta,opp_ftm,opp_ast,opp_stl,opp_blk,opp_pf,opp_pts,predicted_spread,predicted_total,ci_lower,ci_upper
2024-10-12_PhoenixSuns_DetroitPistons,2024-10-12,Phoenix Suns,Detroit Pistons,50.0,50.0,0.0,0.0,0.0,0.0,AWAY,N/A,91,109,AWAY,1.0,2025-11-25 12:38:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-10-12_LAClippers_PortlandTrailBlazers,2024-10-12,LA Clippers,Portland Trail Blazers,50.0,50.0,0.0,0.0,0.0,0.0,AWAY,N/A,101,99,HOME,0.0,2025-11-25 12:38:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-10-13_BostonCeltics_Philadelphia76ers,2024-10-13,Boston Celtics,Philadelphia 76ers,50.0,50.0,0.0,0.0,0.0,0.0,AWAY,N/A,139,89,HOME,0.0,2025-11-25 12:38:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-10-13_ChicagoBulls_MemphisGrizzlies,2024-10-13,Chicago Bulls,Memphis Grizzlies,50.0,50.0,0.0,0.0,0.0,0.0,AWAY,N/A,121,124,AWAY,1.0,2025-11-25 12:38:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-10-13_SanAntonioSpurs_UtahJazz,2024-10-13,San Antonio Spurs,Utah Jazz,50.0,50.0,0.0,0.0,0.0,0.0,AWAY,N/A,126,120,HOME,0.0,2025-11-25 12:38:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-10-13_MiamiHeat_NewOrleansPelicans,2024-10-13,Miami Heat,New Orleans Pelicans,50.0,50.0,0.0,0.0,0.0,0.0,AWAY,N/A,101,99,HOME,0.0,2025-11-25 12:38:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-10-13_NewYorkKnicks_MinnesotaTimberwolves,2024-10-13,New York Knicks,Minnesota Timberwolves,50.0,50.0,0.0,0.0,0.0,0.0,AWAY,N/A,115,110,HOME,0.0,2025-11-25 12:38:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-10-13_SacramentoKings_PortlandTrailBlazers,2024-10-13,Sacramento Kings,Portland Trail Blazers,50.0,50.0,0.0,0.0,0.0,0.0,AWAY,N/A,85,105,AWAY,1.0,2025-11-25 12:38:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-10-13_BostonCeltics_TorontoRaptors,2024-10-13,Boston Celtics,Toronto Raptors,50.0,50.0,0.0,0.0,0.0,0.0,AWAY,N/A,115,111,HOME,0.0,2025-11-25 12:38:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-10-14_DenverNuggets_PhoenixSuns,2024-10-14,Denver Nuggets,Phoenix Suns,50.0,50.0,0.0,0.0,0.0,0.0,AWAY,N/A,114,118,AWAY,1.0,2025-11-25 12:38:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
