mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
4.365137720108033,0.4436199120258125,0.07875185012817383,0.03356724318346595,0.8,0.5,0.05,4,5,700,0.7,"{'colsample_bytree': 0.8, 'gamma': 0.5, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 5, 'n_estimators': 700, 'subsample': 0.7}",-5.103832408358193,-4.295339344756032,-4.020453374873987,-3.742285065780544,-11.0541784097682,-5.643217720707391,2.7434692376905594,23,-1.2761022162961435,-1.4418730231633796,-1.532342469639266,-1.6113319163993125,-1.683326514971857,-1.5089952280939918,0.14153009177174025
6.120947647094726,1.089447622816182,0.14326791763305663,0.09633886861919509,0.9,0.0,0.1,4,1,700,0.7,"{'colsample_bytree': 0.9, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 700, 'subsample': 0.7}",-5.174891149357915,-4.132511017630267,-4.148654248968392,-3.7992001683934373,-10.966673926759768,-5.644386102221956,2.7009207458432885,24,-0.560452595778874,-0.9223359271161882,-1.013300231105698,-1.1713508644337378,-1.2549958745166363,-0.9844870985902269,0.2419054729161139
5.506533098220825,1.082762466403246,0.15880823135375977,0.03927787474062041,0.9,0.1,0.1,4,1,700,0.7,"{'colsample_bytree': 0.9, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 700, 'subsample': 0.7}",-5.174891149357915,-4.132511017630267,-4.148654248968392,-3.7992001683934373,-10.966673926759768,-5.644386102221956,2.7009207458432885,24,-0.560452595778874,-0.9223359271161882,-1.013300231105698,-1.1713508644337378,-1.2549958745166363,-0.9844870985902269,0.2419054729161139
6.762191343307495,1.738688257738696,0.08971071243286133,0.020672472750817208,0.9,0.5,0.1,4,1,700,0.7,"{'colsample_bytree': 0.9, 'gamma': 0.5, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 700, 'subsample': 0.7}",-5.174891149357915,-4.132511017630267,-4.148654248968392,-3.7992001683934373,-10.966673926759768,-5.644386102221956,2.7009207458432885,24,-0.560452595778874,-0.9223359271161882,-1.013300231105698,-1.1713508644337378,-1.2549958745166363,-0.9844870985902269,0.2419054729161139
4.660538148880005,2.066209040161866,0.15642218589782714,0.08168815671382829,0.9,0.0,0.05,4,3,500,0.7,"{'colsample_bytree': 0.9, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 500, 'subsample': 0.7}",-5.027631256412755,-4.249763254364068,-4.126942069325226,-3.9090430245757366,-10.917716379298104,-5.646219196795178,2.6626080007261432,27,-1.2757934770741306,-1.5613841286394745,-1.7111079711277137,-1.8022274376358323,-1.8717866674736043,-1.644459936390151,0.21157813483761143
3.9578398704528808,1.1559583311667005,0.1153862476348877,0.08140581870685001,0.9,0.1,0.05,4,3,500,0.7,"{'colsample_bytree': 0.9, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 500, 'subsample': 0.7}",-5.027631256412755,-4.249763254364068,-4.126942069325226,-3.9090430245757366,-10.917716379298104,-5.646219196795178,2.6626080007261432,27,-1.2757934770741306,-1.5613841286394745,-1.7111079711277137,-1.8022274376358323,-1.8717866674736043,-1.644459936390151,0.21157813483761143
4.358993196487427,1.0616552851572263,0.13465414047241211,0.037889729293527415,0.7,0.0,0.1,4,5,500,0.7,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 5, 'n_estimators': 500, 'subsample': 0.7}",-5.0682807676288535,-4.176399640031734,-4.057851835114935,-3.8673486127363925,-11.071186288343693,-5.648213428771122,2.742696550747483,29,-1.0346891832548184,-1.2040078935668792,-1.394441133636015,-1.409126921907548,-1.5070213647752368,-1.3098572994280995,0.1689994914195071
3.5626779079437254,0.5143983439313135,0.07239751815795899,0.03193915752636977,0.8,0.5,0.1,4,3,500,0.7,"{'colsample_bytree': 0.8, 'gamma': 0.5, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 500, 'subsample': 0.7}",-5.040118227928679,-4.316167242627665,-4.104260305448478,-3.9089755338696848,-10.878734329488701,-5.649651127872642,2.642393047044129,30,-0.9343098891387274,-1.1733668844178646,-1.2935110171552007,-1.4026868094003717,-1.494131395513587,-1.2596011991251501,0.19487358673272304
4.737874937057495,0.28213685361765684,0.1354825973510742,0.10203760240556596,0.7,0.0,0.05,4,1,500,0.7,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 500, 'subsample': 0.7}",-5.295207306146457,-4.317629790825823,-4.067792931916994,-3.981495488328123,-10.591192511114336,-5.650663605666347,2.514110418088192,31,-1.214167912713774,-1.5881761388303426,-1.6494934152288967,-1.780854981271201,-1.85863724296003,-1.6182659382008489,0.2233335293360185
3.7173457622528074,0.5340109200072806,0.07926836013793945,0.05725497982334957,0.7,0.1,0.05,4,1,500,0.7,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 500, 'subsample': 0.7}",-5.295207306146457,-4.317629790825823,-4.067792931916994,-3.981495488328123,-10.591192511114336,-5.650663605666347,2.514110418088192,31,-1.214167912713774,-1.5881761388303426,-1.6494934152288967,-1.780854981271201,-1.85863724296003,-1.6182659382008489,0.2233335293360185
